-2,320,100,20,PLATFORM,
187,390,100,20,PLATFORM,
675,320,100,20,PLATFORM,
587,390,100,20,PLATFORM,
287,390,100,20,PLATFORM,
761,250,100,20,PLATFORM,
195,250,100,20,PLATFORM,
1061,250,100,20,PLATFORM,
395,250,100,20,PLATFORM,
295,250,100,20,PLATFORM,
487,390,100,20,PLATFORM,
98,320,100,20,PLATFORM,
861,250,100,20,PLATFORM,
961,250,100,20,PLATFORM,
387,390,100,20,PLATFORM,
175,250,10,10,DROP,
208,320,10,10,DROP,
741,250,10,10,DROP,
655,320,10,10,DROP,
0,-30,10,50,WALL,
486,150,10,50,WALL,
486,50,10,50,WALL,
676,340,10,50,WALL,
486,200,10,50,WALL,
1152,200,10,50,WALL,
0,20,10,50,WALL,
486,0,10,50,WALL,
762,270,10,50,WALL,
0,270,10,50,WALL,
1152,0,10,50,WALL,
0,120,10,50,WALL,
0,220,10,50,WALL,
0,70,10,50,WALL,
187,340,10,50,WALL,
1152,100,10,50,WALL,
486,100,10,50,WALL,
1152,150,10,50,WALL,
0,170,10,50,WALL,
1152,50,10,50,WALL,
1047,228,0,0,END,
451,227,10,0,PLAYER,
1040,141,1,7,EVIL,
1,340,50,50,ZONE,
1,270,50,50,ZONE,
1,200,50,50,ZONE,
