605,581,100,20,PLATFORM,
805,581,100,20,PLATFORM,
1834,721,100,20,PLATFORM,
505,581,100,20,PLATFORM,
2124,651,100,20,PLATFORM,
1195,511,100,20,PLATFORM,
1646,581,100,20,PLATFORM,
1295,511,100,20,PLATFORM,
1634,721,100,20,PLATFORM,
2214,581,100,20,PLATFORM,
405,581,100,20,PLATFORM,
1734,721,100,20,PLATFORM,
2594,581,100,20,PLATFORM,
1934,721,100,20,PLATFORM,
1546,581,100,20,PLATFORM,
2304,511,100,20,PLATFORM,
685,441,100,20,PLATFORM,
1095,511,100,20,PLATFORM,
1005,581,100,20,PLATFORM,
705,581,100,20,PLATFORM,
2404,511,100,20,PLATFORM,
595,511,100,20,PLATFORM,
905,581,100,20,PLATFORM,
2494,581,100,20,PLATFORM,
105,581,100,20,PLATFORM,
2034,721,100,20,PLATFORM,
305,581,100,20,PLATFORM,
1446,581,100,20,PLATFORM,
5,581,100,20,PLATFORM,
1346,581,100,20,PLATFORM,
205,581,100,20,PLATFORM,
1385,441,100,20,PLATFORM,
575,511,10,10,DROP,
795,441,10,10,DROP,
665,441,10,10,DROP,
1075,511,10,10,DROP,
1365,441,10,10,DROP,
2284,511,10,10,DROP,
2104,651,10,10,DROP,
2514,511,10,10,DROP,
1756,581,10,10,DROP,
1495,441,10,10,DROP,
2194,581,10,10,DROP,
5,531,10,50,WALL,
685,461,10,50,WALL,
2684,531,10,50,WALL,
2124,671,10,50,WALL,
5,481,10,50,WALL,
1265,461,10,50,WALL,
1346,531,10,50,WALL,
2684,481,10,50,WALL,
2684,431,10,50,WALL,
2494,531,10,50,WALL,
1635,651,10,20,WALLFILLER,
1635,671,10,50,WALL,
595,531,10,50,WALL,
2214,601,10,50,WALL,
5,431,10,50,WALL,
1095,531,10,50,WALL,
1635,601,10,50,WALL,
1195,461,10,50,WALL,
1385,461,10,50,WALL,
2684,381,10,50,WALL,
2304,531,10,50,WALL,
27,565,10,0,PLAYER,
2658,443,0,0,END,
1231,497,1,5,EVIL,
2391,475,15,5,EVIL,
52,288,2,6,EVIL,
1,601,50,50,ZONE,
1,531,50,50,ZONE,
1,671,50,50,ZONE,
1,461,50,50,ZONE,
1,391,50,50,ZONE,
